Gene(s),Count
BMPR2,868
KCNK3,142
SARS2,88
SMAD9,84
TBX4,73
CAV1,48
BMPR1A,39
CPS1,28
AGT,25
ACVRL1,16
PDE3A,13
AGTR1,11
ATP13A3,6
GIMAP1-GIMAP5|GIMAP5,4
ABCA3,3
ENG,3
EIF2AK4,3
NOS3,3
BMPR1B,3
ENG|LOC102723566,3
DGUOK,3
GDF2,2
HYDIN,2
PTGIS,2
LOC102723566|ENG,1
DIPK1A|RPL5,1
COL1A1,1
KCNA5,1
SNORD70B|NOP58|SNORD11|SNORD11B|SNORD70|BMPR2,1
PKD1,1
FOXF1,1
SMAD1|SMAD1-AS1,1
SCNN1B,1
DGUOK-AS1|DGUOK,1
UMOD,1
PHF6,1
BMPR2|NOP58,1
CYP3A5|ZSCAN25,1
LOC126805821|SARS1,1
SARS1,1
CARF|CTLA4|CYP20A1|BZW1|C2CD6|ABI2|ALS2|AOX1|BMPR2|CASP10|CASP8|CD28|CDK15|CFLAR|CLK1|FAM117B|FLACC1|FZD7|HYCC2|ICA1L|ICOS|KCTD18|MPP4|NBEAL1|NDUFB3|NIF3L1|NOP58|ORC2|PPIL3|RAPH1|SGO2|SPATS2L|STRADB|SUMO1|TMEM237|TRAK2|WDR12,1
ABI2|BMPR2|CARF|CD28|CTLA4|CYP20A1|FAM117B|FZD7|ICA1L|ICOS|NBEAL1|NOP58|RAPH1|SUMO1|WDR12,1
BMPR2|SUMO1|NOP58,1
CARF|FAM117B|ICA1L|BMPR2|NBEAL1|WDR12,1
CDK15|FZD7|NOP58|BMPR2|SUMO1|ALS2,1
ABI2|ACADL|ADAM23|BMPR2|C2orf80|CARF|CCNYL1|CD28|CMKLR2|CPO|CPS1|CREB1|CRYGA|CRYGB|CRYGC|CRYGD|CTLA4|CYP20A1|DYTN|EEF1B2|FAM117B|FASTKD2|FZD5|ICA1L|ICOS|IDH1|INO80D|KANSL1L|KLF7|LANCL1|MAP2|MDH1B|METTL21A|MYL1|NBEAL1|NDUFS1|NRP2|PARD3B|PIKFYVE|PLEKHM3|PTH2R|RAPH1|RPE|UNC80|WDR12|ZDBF2,1
SOX17,1
NOTCH3,1
TOPBP1,1
LOC124625920|PDE3A,1
MT-TI,1
