NCT Number,Study Title,Study URL,Acronym,Study Status,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Age,Phases,Study Type,Other IDs,Study Documents
NCT00185120,Treatment of High Blood Pressure Using Olmesartan With Hydrochlorothiazide Compared to an ACE Inhibitor With a Calcium Channel Blocker,https://beta.clinicaltrials.gov/study/NCT00185120,,COMPLETED,NO,Hypertension,DRUG: Olmesartan medoxomil|DRUG: Hydroclorothiazide|DRUG: Benazepril|DRUG: Amlodipine,Change in systolic blood pressure from the start of the study,Change in diastolic blood pressure from the start of the study|Percent of patients who achieve target blood pressure goals,,"Daiichi Sankyo, Inc.",,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,866-447,
NCT02995954,Fixed vs Free Dose of ACEi/CCB Combination Therapy,https://beta.clinicaltrials.gov/study/NCT02995954,FixFree,COMPLETED,NO,Hypertension,DRUG: Perindopril/Amlodipine,"systolic Blood pressure control, reduction in mmHg, 3 months|Diastolic Blood pressure control, reduction in mmHg, 3 months","blood pressure control, percentage of patients with BP control, 3 months",,Guido Iaccarino,,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,iacca001,
NCT00221845,Effect of Strict Blood Pressure Control and ACE-Inhibition on Progression of Chronic Renal Failure in Pediatric Patients,https://beta.clinicaltrials.gov/study/NCT00221845,ESCAPE,COMPLETED,NO,Children|Chronic Renal Failure|Hypertension|Acquired Kidney Disease|Congenital Kidney Disease,DRUG: ACE Inhibition|DRUG: Intensified Blood Pressure Control|DRUG: Add-on Angiotensin Receptor Blockade,"Time interval to renal 'loss' as defined by an absolute decrease in creatinine clearance by 50 % or attainment of renal replacement therapy., two-monthly","Effect of treatment on urinary protein excretion, two-monthly|Effect of treatment on blood pressure, two-monthly|Safety of treatment, initially weekly, than two-monthly",,Heidelberg University,European Commission|Boehringer Ingelheim|Baxter Healthcare Corporation|Aventis Pharmaceuticals,"CHILD, ADULT",PHASE3,INTERVENTIONAL,QLRT-2001-00908,
NCT00126516,Angiotensin II Receptor Blockers (ARB) and ACE Inhibitors (ACEI) on Silent Brain Infarction and Cognitive Decline,https://beta.clinicaltrials.gov/study/NCT00126516,,COMPLETED,NO,Brain Infarction|Hypertension,DRUG: Angiotensin II Receptor Antagonists|DRUG: Angiotensin-converting Enzyme Inhibitors,"Fatal and nonfatal stroke, two years|Progression of silent brain infarction or white matter lesion on magnetic resonance imaging, two years","Fatal and nonfatal acute coronary syndrome, two years|Admission for heart failure, two years|All cause mortality, two years",,Nara Medical University,,OLDER_ADULT,PHASE4,INTERVENTIONAL,03-Ken-52,
NCT00985322,Angiotensin-converting-enzyme (ACE) Inhibitors in Hemodialysis,https://beta.clinicaltrials.gov/study/NCT00985322,ARCADIA,COMPLETED,NO,Left Ventricular Hypertrophy|Hypertension,DRUG: ACE inhibitor Ramipril|DRUG: non-RAS inhibitor antihypertensive therapy,"The main outcome variable will be a combined end-point of cardiovascular death (including sudden death and cardiac arrest resuscitation) and myocardial infarction or non-fatal stroke., Baseline, 1st and 2nd year","Single components of combined endpoint,myocardial or peripheral revascularizations,new onset paroxysmal,persistent or permanent or recurrence of atrial fibrillation,hospitalizations for chronic heart failure,and thrombosis of artero-venous fistula, Baseline, 1st and 2nd year",,Mario Negri Institute for Pharmacological Research,Agenzia Italiana del Farmaco,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,ARCADIA|2008-003529-17,
NCT02807987,Study of CS-3150 in Combination With ARB or ACE Inhibitor in Hypertensive Patients With Moderate Renal Impairment,https://beta.clinicaltrials.gov/study/NCT02807987,,COMPLETED,NO,Hypertension With Moderate Renal Impairment,DRUG: CS-3150,"Change from baseline in sitting systolic and diastolic blood pressure, Change from baseline in sitting systolic and diastolic blood pressure, Baseline to end of Week 12","Time course of systolic and diastolic blood pressure, Time course of systolic and diastolic blood pressure, Baseline to end of Week 12|Proportion of patients achieving blood pressure control, Proportion of patients achieving blood pressure control, Baseline to end of Week 12",,"Daiichi Sankyo Co., Ltd.",,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,CS3150-A-J305,
NCT00980187,"A Comparison of Indapamide SR 1.5 mg With HCTZ 25 mg, in Combination With an ACE-inhibitor, in Patients With Mild to Moderate AHT and Type 2 DM",https://beta.clinicaltrials.gov/study/NCT00980187,AISHA,COMPLETED,NO,Hypertension|Type 2 Diabetes Mellitus,DRUG: Hydrochlorothiazide|DRUG: Indapamide,"Better metabolic effects of indapamide SR 1.5 mg+quinapril by comparison with hydrochlorothiazide 25 mg+quinapril, in patients with hypertension and type 2 diabetes mellitus., 6 months","Better antihypertensive effects of indapamide SR 1.5 mg+quinapril by comparison with hydrochlorothiazide 25 mg+quinapril, in patients with hypertension and type 2 diabetes mellitus., 6 months|Better effects on cardiac and arterial function of indapamide SR 1.5 mg+quinapril by comparison with hydrochlorothiazide 25 mg+quinapril, in patients with hypertension and type 2 diabetes mellitus, 6 months|Better safety of indapamide SR 1.5 mg+quinapril by comparison with hydrochlorothiazide 25 mg+quinapril, in patients with hypertension and type 2 diabetes mellitus, 6 months",,LaborMed Pharma S.A.,,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,RO-SCL-IQ v 1.0/04.07,
NCT00666848,Effect of Sitagliptin and an ACE Inhibitor on Blood Pressure in Metabolic Syndrome,https://beta.clinicaltrials.gov/study/NCT00666848,,COMPLETED,YES,Metabolic Syndrome|Hypertension,DRUG: Placebo|DRUG: Enalapril 5mg|DRUG: Enalapril 10mg|DRUG: Sitagliptin,"Change in MAP During Placebo, The change in mean arterial pressure (MAP) in response to placebo or enalapril after pretreatment with 5 days of placebo, just prior to drug administration and 8 hours after drug administration|Change in MAP During Sitagliptin, Mean change in mean arterial pressure in response to placebo or enalapril in the presence of 5 days of sitagliptin 100mg/day, just prior to drug administration and 8 hours following treatment",,,Vanderbilt University,,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,70977,
NCT00939588,Compare the Effect of Aliskiren Plus Valsartan Versus Angiotensin-Converting Enzyme Inhibitor (ACEi) Plus Angiotensin Receptor Blocker (ARB) [Ramipril Plus Telmisartan] on the Renin-Angiotensin-Aldosterone System (RAAS) in Hypertensive Patients,https://beta.clinicaltrials.gov/study/NCT00939588,,COMPLETED,NO,Hypertension,DRUG: Aliskiren/ Valsartan|DRUG: Telmisartan/ Ramipril,"Compare the effects of aliskiren + valsartan vs ramipril + telmisartan on 24-hour urinary aldosterone, 56 days","Compare the effects of aliskiren + valsartan vs ramipril + telmisartan on Plasma Renin Activity (PRA)and angiotensin II, 56 days|Compare the effects of aliskiren + valsartan vs ramipril + telmisartan on mean sitting systolic and diastolic blood pressure, 56 days|Assess safety and tolerability of aliskiren + valsartan and ramipril + telmisartan, 56 days",,Novartis Pharmaceuticals,,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,CSPV100A2225,
NCT00051389,ACE Inhibition and Novel Cardiovascular Risk Factors,https://beta.clinicaltrials.gov/study/NCT00051389,,COMPLETED,NO,Cardiovascular Diseases|Heart Diseases|Hypertension,DRUG: Fosinopril,,,,"National Heart, Lung, and Blood Institute (NHLBI)",,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,155|R01HL068901,
