NCT Number,Study Title,Study URL,Acronym,Study Status,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Age,Phases,Study Type,Study Design,Other IDs,Study Documents
NCT02513979,Postoperative Pain and Angiotensin II Receptor Antagonists,https://beta.clinicaltrials.gov/study/NCT02513979,PP&ARA,UNKNOWN,NO,Hypertension,DRUG: Angiotensin type II receptor antagonists,"Acute pain after cough, Intensity of pain after cough measured with the Visual Analogue Scale (VAS 0-100 mm), 24 hours postoperatively","Acute pain at rest, Intensity of pain at rest measured with the Visual Analogue Scale (VAS 0-100 mm), 2, 4, 8 and 24 hours postoperatively|Acute pain after cough, Intensity of pain after cough measured with the Visual Analogue Scale (VAS 0-100 mm), 2, 4 and 8 hours postoperatively|Analgesic consumption, All analgesics converted to morphine equivalent (mg), 2, 4, 8 and 24 hours postoperatively|Chronic pain, Present or absent, if present characteristics (pricking, burning, throbbing), Three months postoperatively|Analgesic consumption for chronic pain, Yes or not, number of pills, Three months postoperatively","Patient satisfaction, Patient satisfaction measured in a 0-100 mm scale with special reference to postoperative pain management, 24 hours postoperatively",University of Athens,,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,AHSTSA-102,
NCT00529750,Effect of the Angiotensin II Receptor Antagonist Irbesartan on Biochemical and Functional Markers of Endothelial Dysfunction in Patients With Hypertension,https://beta.clinicaltrials.gov/study/NCT00529750,,COMPLETED,NO,Hypertension,DRUG: IRBESARTAN|DRUG: Atenolol,"Endothelial function in vivo qualification: brachial artery flow mediated vasodilation (FMV%) determined by high resolution ultrasound., at baseline and at the end of the study-12th wk",,,Sanofi,,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",L_8261,
NCT00126516,Angiotensin II Receptor Blockers (ARB) and ACE Inhibitors (ACEI) on Silent Brain Infarction and Cognitive Decline,https://beta.clinicaltrials.gov/study/NCT00126516,,COMPLETED,NO,Brain Infarction|Hypertension,DRUG: Angiotensin II Receptor Antagonists|DRUG: Angiotensin-converting Enzyme Inhibitors,"Fatal and nonfatal stroke, two years|Progression of silent brain infarction or white matter lesion on magnetic resonance imaging, two years","Fatal and nonfatal acute coronary syndrome, two years|Admission for heart failure, two years|All cause mortality, two years",,Nara Medical University,,OLDER_ADULT,PHASE4,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION,03-Ken-52,
NCT03733145,Angiotensin II in General Anesthesia,https://beta.clinicaltrials.gov/study/NCT03733145,,RECRUITING,NO,Hypertension,DRUG: Angiotensin II,"Mean dose required to increase the SBP, The mean dose required to increase the SBP in these 3 cohorts with essential hypertension (ACE inhibitor, ARB, or those on another class of hypertensive agents) to within 5% of baseline or higher will be calculated., up to 1 hour","Mean value of Bradykinin, Mean values of Bradykinin 1-8 and Bradykinin 1-7 will be calculated and reported., up to 1 hour|Mean value of Angiontensin, Mean values of Angiotensin I, Angiotensin II, Angiotensin IV, Angiotensin 1-7, Angiotensin 1-5, Angiotensin 1-9, Angiotensin 2-10, Angiotensin 2-7, and Angiotensin 3-7 will be calculated and reported., up to 1 hour|Mean value of Aldosterone, Mean value of Aldosterone will be calculated and reported., up to 1 hour",,Wake Forest University Health Sciences,,"ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,IRB00054661,
NCT01502787,Comparison of Nebivolol and Metoprolol With Exercise and Angiotensin II in Hypertensive Patients,https://beta.clinicaltrials.gov/study/NCT01502787,,COMPLETED,YES,Hypertension,DRUG: Metoprolol succinate|DRUG: Nebivolol|PROCEDURE: Forearm blood flow|PROCEDURE: Microneurography|PROCEDURE: Rhythmic handgrip exercise|PROCEDURE: Lower body negative pressure|DRUG: Angiotensin II,"Forearm Blood Flow, 12 weeks after each specified medication","Blood Pressure During Exercise, 12 weeks|Blood Pressure During Angiotensin II Infusion, 12 weeks after initiation of metoprolol",,University of Texas Southwestern Medical Center,Forest Laboratories,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: DIAGNOSTIC,STU 062011-072,Study Protocol and Statistical Analysis Plan
NCT01684748,Angiotensin II Blockade and Inflammation in Obesity,https://beta.clinicaltrials.gov/study/NCT01684748,ARB,COMPLETED,YES,Overweight|Obese|Prehypertension|Hypertension,DRUG: Olmesartan medoxomil,"Insulin Sensitivity by Intravenous Glucose Tolerance Testing (Change Over Time), Data collected from the intravenous glucose tolerance tests included blood concentrations of glucose and insulin. Glucose was measured immediately on a YSI glucose analyzer and insulin was measured via ELISA colormetric kits once all study samples were collected. To analyze changes in insulin sensitivity, the MINMOD software was used. The MINMOD software uses Bergman's minimal model to determine insulin sensitivity during an intravenous glucose tolerance test. Both glucose and insulin values were inserted at each timepoint collected (33 in total over the 3-hour protocol) and the software was run to generate the insulin sensitivity value at baseline and post-test. This information was then used to calculate the change of insulin sensitivity from baseline to post-testing after each 8-week intervention., Baseline testing to post-testing after 8-week intervention",,"Collagen Gene Expression in Skeletal Muscle (Change Over Time), RNA extraction and quantification were determined using an RNeasy Mini Fibrous Kit and DNase I treatment (Qiagen, Valencia, CA, USA) in accordance to the manufacturer's directions for mRNA extraction. Quantitative real-time polymerase chain reaction (qRT-PCR) measured the expression of collagen III using an ABI PRISM 7900 Sequence Detection System instrument and TaqMan Universal PCR Master Mix according to the manufacturer's instructions (Applied Biosystems, Foster City, CA, USA). Relative gene expression levels were determined using the number of cycles necessary to reach threshold and results were normalized to cyclophilin B RNA levels., Baseline testing to post-testing after 8-week intervention",Virginia Polytechnic Institute and State University,"National Heart, Lung, and Blood Institute (NHLBI)","ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: PREVENTION,arbfat,
NCT04753112,Treatment of PH With Angiotensin II Receptor Blocker and Neprilysin Inhibitor in HFpEF Patients With CardioMEMS Device,https://beta.clinicaltrials.gov/study/NCT04753112,ARNIMEMS-HFpEF,COMPLETED,NO,Pulmonary Hypertension,DRUG: Sacubitril / Valsartan Oral Tablet [Entresto],"Change in mPAP With Sacubitril/Valsartan compared to Standard therapy, Change in Mean Pulmonary Artery Pressure With Sacubitril/Valsartan compared to Standard therapy., Time Frame: 0-18 weeks","Mean Change in mPAP, Mean Change in mPAP on Sacubitril/Valsartan (7 days after first dose of sacubitril/valsartan)., 7 days|Change in Distance Walked, Change in Distance Walked During a Standard 6 Minute Walk, Baseline, 6 weeks, 12 weeks, 18 weeks|Change in NT-proBNP concentration, Change in NT-proBNP (pg/ml), 6-12-18 weeks|Change in CA-125 concentration, Change in CA-125 (u/ml), 6-12-18 weeks|Change in Soluble ST2 concentration, Change in Soluble ST2 (ng/ml), 6-12-18 weeks|Change in the European Quality of Life-5 Dimensions scale, Minimum value of 5, maximum value of 15. Higher scores mean a worse quality of life., Baseline, 18 weeks|Change in the short version of the Kansas City Cardiomyopathy Questionnaire (KCCQ-12), Minimum value of 0, maximum value of 100. Higher scores mean a better quality of life., Baseline, 18 weeks|Change in Daily Diuretic Dose, Mean Change in Total Daily Diuretic Dose, Baseline-6-12-18 weeks|Change in E/e', Mean Change in diastolic dysfunction echocardiography parameter E/e', 6 weeks, 12 weeks, 18 weeks|Change in septal e' velocity, Mean Change in diastolic dysfunction echocardiography parameter Septal e' velocity (m/s), 6 weeks, 12 weeks, 18 weeks|Change in lateral e' velocity, Mean Change in diastolic dysfunction echocardiography parameter lateral e' velocity (m/s), 6 weeks, 12 weeks, 18 weeks|Change in diastolic dysfunction echocardiography parameter tricuspid regurgitation velocity, Mean Change in diastolic dysfunction echocardiography parameter tricuspid regurgitation velocity (m/s), 6 weeks, 12 weeks, 18 weeks|Change in diastolic dysfunction echocardiography parameter left atrium volumen index, Mean Change in diastolic dysfunction echocardiography parameter left atrium volumen index (ml/m2), 6 weeks, 12 weeks, 18 weeks|Change in the number of B-lines in lung ultrasound LUS, Mean Change in the number of B-lines in lung ultrasound, 6 weeks, 12 weeks, 18 weeks|Decline in renal function, Decline in renal function (decrease in the estimated glomerular filtration rate of â‰¥50%, development of end-stage renal disease, or death due to renal failure), Baseline-18 weeks|Prespecified adverse events of interest, Hypotension with systolic blood pressure \<100 mmHg, hyperkalemia (\>5.5mmol/L), and angioedema are prespecified adverse events of interest, Baseline-18 weeks",,Germans Trias i Pujol Hospital,,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,ICOR-2020-03-PA-ARNIMEMS,
NCT02175355,Efficacy and Safety of the Angiotensin II Receptor Antagonist MicardisÂ® (Telmisartan) or Hydrochlorothiazide in the Management of Patients With Isolated Systolic Hypertension (ISH),https://beta.clinicaltrials.gov/study/NCT02175355,ARAMIS,COMPLETED,NO,Hypertension,DRUG: Low dose of MicardisÂ®|DRUG: Medium dose of MicardisÂ®|DRUG: High dose of MicardisÂ®|DRUG: Hydrochlorothiazide|DRUG: Placebo,"Change from baseline in seated systolic blood pressure at trough (24 hours post-dose), after 6 weeks of treatment|Change from baseline in urine albumine excretion rate, after 6 weeks of treatment|Change from baseline in pulse wave velocity, after 6 weeks of treatment","Percentage of patients achieving a target fall in SBP, after 6 weeks of treatment|Changes in seated diastolic blood pressure (DBP), up to 6 weeks|Change from baseline in augmentation index, after 6 weeks of treatment|Incidence and intensity of adverse events, up to 6 weeks|Number of patients with relevant changes from baseline in physical examination, baseline, week 6|Number of patients with relevant changes in Heart Rate (HR), up to 6 weeks|Number of patients with relevant changes in laboratory parameters, up to 6 weeks|Number of patients with relevant changes in 12-lead electrocardiogram (ECG), up to 6 weeks",,Boehringer Ingelheim,,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE|Primary Purpose: TREATMENT,502.254,
NCT00237588,Glucose Optimisation With Angiotensin II Antagonist Losartan (GOAAL),https://beta.clinicaltrials.gov/study/NCT00237588,,COMPLETED,NO,Hypertension,DRUG: Amlodipine 10 mg or Losartan 100 mg + Amlodipine 5 mg,Insulin sensitivity assessed with hyperinsulinaemic isoglycaemic glucose clamp(GDR),"Fasting serum glucose|Fasting serum insulin|HOMA-IR|C-peptide|High sensitivity C-reactive protein|Lipids (Triglycerides, Total-cholesterolHDL-cholesterol, LDL-cholesterol)|Adipocytokines etc.(Adiponectin, leptin, resistin, TNF-a, PAI-1 activity, ghrelin)|Serum uric acid|Catecholamines|Baroreflex sensitivitiy|Heart rate variability|Microalbuminuria",,Ullevaal University Hospital,Merck Sharp & Dohme LLC,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE|Primary Purpose: ,308-1,
NCT01011660,Effects of Angiotensin II Receptor Blocker Compared With Diuretics in High-risk Hypertensive Patients,https://beta.clinicaltrials.gov/study/NCT01011660,CHIEF,UNKNOWN,NO,Essential Hypertension,"DRUG: Amlodipine, Telmisartan, Amiloride Compound , Simvastatin","The primary study outcomes are composite of non-fatal stroke, non-fatal myocardial infarction and cardiovascular death., 3-4 years","All cardiovascular eventsï¼›all-cause death, hospitalization for angina pectoris, coronary revascularization, aortic dissection, cerebrovascular disease, heart failure, renal insufficiency, tumor, new onset of atrial fibrillation and diabetes mellitus, 3-4 years",,"Chinese Academy of Medical Sciences, Fuwai Hospital",,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: NONE|Primary Purpose: TREATMENT,115,
