NCT Number,Study Title,Study URL,Acronym,Study Status,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Age,Phases,Study Type,Study Design,Other IDs,Study Documents
NCT00595049,Pulmonary Artery Remodelling With Bosentan,https://beta.clinicaltrials.gov/study/NCT00595049,,COMPLETED,NO,"Hypertension, Pulmonary",DRUG: bosentan,"Change from baseline (BL) to 6 mths in the IVUS-derived measurement of pulmonary artery wall thickness., Baseline to 6 months|Change from BL to 6 mths in pulmonary microvascular circulation dilator responses to actylcholine (Ach)., Baseline to 6 months","Change from BL to 6 mths in each of the IVUS derived pulmonary artery parameters., Baseline to 6 months|Change from BL to 6 mths in pulmonary microvascular circulation dilator responses to sodium nitroprusside., Baseline to 6 months|Correlation between the change from BL to 6 mths of each of the IVUS-derived parameters and the pulmonary microvascular circulation (PMVC) dilator responses versus changes in PVR., Baseline to 6 months|Correlation between the change from BL to 6 mths of each of the IVUS-derived parameters and the PMVC dilator responses versus changes in 6MWD., Baseline to 6 months",,Actelion,,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,AC-052-416,
NCT03431649,Efficacy of Beraprost in Lowering Pulmonary Arterial Pressure in Children,https://beta.clinicaltrials.gov/study/NCT03431649,,COMPLETED,NO,Pediatric Pulmonary Hypertension,DRUG: Beraprost Sodium|DRUG: Sildenafil Citrate,"Efficacy of Beraprost, Sildenafil and comparison between both drugs in lowering pulmonary arterial pressure, Measuring mPAP (pre-post therapy) via echocardiography before and after consuming sildenafil or beraprost, 12 weeks","Emergent Adverse Events, adverse event reported by patients and during weekly examination after consuming Beraprost or Sildenafil: hypotension, dizzy, headache, flushing, bleeding, 12 weeks",,Dr. Soetomo General Hospital,,CHILD,PHASE4,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",TAshirley,
NCT01027949,An Open-Label Extension Trial of UT-15C Sustained-release (SR) in Subjects With Pulmonary Arterial Hypertension,https://beta.clinicaltrials.gov/study/NCT01027949,FREEDOM-EXT,COMPLETED,YES,Pulmonary Arterial Hypertension,DRUG: Oral Treprostinil,"Change in Exercise Capacity at Month 12, Assess the effect of continued therapy with oral treprostinil on exercise capacity as assessed by the change from Baseline in 6-Minute Walk Test (6MWT) after 1 year of treatment. The 6MWT is the clinical standard for assessing subject functional status in the treatment of PAH and has been considered an objective measure of subject functional status by the American Thoracic Society. The distance a subject can walk in 6 minutes is recorded in meters., From First Visit (Visit 1) to Month 12",,,United Therapeutics,,"CHILD, ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,TDE-PH-304,Study Protocol|Statistical Analysis Plan
NCT00086463,Trial of Iloprost Inhaled Solution as Add-On Therapy With Bosentan in Subjects With Pulmonary Arterial Hypertension (PAH),https://beta.clinicaltrials.gov/study/NCT00086463,,COMPLETED,NO,Pulmonary Arterial Hypertension|Ayerza Syndrome|Pulmonary Hypertension,DRUG: Iloprost or placebo,,,,Actelion,,"CHILD, ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: DOUBLE|Primary Purpose: TREATMENT,STEP STUDY|STEP|Pulmonary Hypertension|Pulmonary Artery|Cotherix,
NCT00617305,Study of Add-on Ambrisentan Therapy to Background Phosphodiesterase Type-5 Inhibitor (PDE5i) Therapy in Pulmonary Arterial Hypertension (ATHENA-1),https://beta.clinicaltrials.gov/study/NCT00617305,ATHENA-1,COMPLETED,YES,Pulmonary Arterial Hypertension,DRUG: Ambrisentan|DRUG: Placebo|DRUG: Sildenafil|DRUG: Tadalafil,"Change From Baseline in Pulmonary Vascular Resistance (PVR), Last Observation Carried Forward (LOCF), The primary objective of this study is to evaluate the change from baseline in PVR, and other hemodynamic parameters, following the addition of ambrisentan to background PDE-5i therapy in subjects with PAH who have demonstrated a sub-optimal response to PDE-5i monotherapy. A decrease in measurement value (dynes sec/cm\^5) indicates improvement for this patient population., Baseline to Week 24","Change From Baseline in Mean Pulmonary Artery Pressure (mPAP) (LOCF), This secondary hemodynamic outcome is supportive of the primary outcome. A decrease in measurement value (mmHg) indicates improvement for this patient population., Baseline to Week 24|Change From Baseline in Mean Right Atrial Pressure (mRAP) (LOCF), This secondary hemodynamic outcome is supportive of the primary outcome. A decrease in measurement value (mmHg) indicates improvement for this patient population., Baseline to Week 24|Change From Baseline in Cardiac Output (LOCF), This secondary hemodynamic outcome is supportive of the primary outcome. An increase in measurement value (L/min) indicates improvement for this patient population., Baseline to Week 24|Change From Baseline in Six Minute Walk Distance (6MWD) Measured at Weeks 4, 12, 24, 36 and 48 (LOCF), The primary analysis of this secondary outcome measure is mean change from Baseline to Week 24. The changes from Baseline to Weeks 4, 12, 36, and 48 were also evaluated. An increase in measurement value (meters walked) indicates improvement for this patient population., Baseline to Week 48|Change in Dyspnea Index Measured at Weeks 4, 12, 24, 36 and 48 (LOCF), The primary analysis of this secondary outcome measure is mean change from Baseline to Week 24. The changes from Baseline to Weeks 4, 12, 36, and 48 were also evaluated. The dyspnea index measures the degree of breathlessness after completion of the 6MWT using a scale of 0 to 10, with 0 indicating no breathlessness and 10 indicating maximum breathlessness., Baseline to Week 48|Change From Baseline in the Cambridge Pulmonary Hypertension Outcome Review (CAMPHOR) Quality of Life (QOL) Survey Overall Score Measured at Weeks 12, 24, 36 and 48 (LOCF), The primary analysis of this secondary outcome measure is mean change from Baseline to Week 24. The changes from Baseline to Weeks 12, 36, and 48 were also evaluated. Lower scores and decreases from baseline represent improved functioning and QOL. The CAMPHOR survey was not assessed at Week 4. The total CAMPHOR score scale ranges from 0 (good) to 25 (poor). A reduction in score over time represents improvement in this patient population., Baseline to Week 48|Change From Baseline in World Health Organization (WHO) Functional Class (LOCF) Measured at Weeks 4, 12, 24, 36 and 48., The primary analysis of this secondary outcome measure is change from Baseline to Week 24. The changes from Baseline to Weeks 4, 12, 36, and 48 were also evaluated. WHO categories are 1 to 4 with the worst category being 4. Improvement is represented by a change in category to a lower number (for example, change from category 3 to 2), and deterioration is represented by a change in category to a higher number (for example, change from category 2 to 4). No change is represented by no change in category (for example, category 2 which remains 2)., Baseline to Week 48|Change From Baseline in Log-transformed N-terminal Pro-B-type Natriuretic Peptide (NT-proBNP) Measured at Weeks 4, 12, 24, 36 and 48 (LOCF), The primary analysis of this secondary outcome measure is mean percent change from Baseline to Week 24. The changes from Baseline to Weeks 4, 12, 36, and 48 were also evaluated. A decrease in log-transformed measurement value (pg/mL) indicates improvement for this patient population., Baseline to Week 48|Time to Clinical Worsening of PAH, Evaluated at Weeks 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, and After Week 48, The time to clinical worsening was defined as the time from enrollment to the first occurrence of death, lung transplantation, hospitalization for PAH, atrial septostomy, or initiation of chronic parenteral prostanoid therapy. Results are presented as the Kaplan-Meier estimate (% probability) of having clinical worsening after a given time., Baseline to Week 48+|Overall Survival, Evaluated at Weeks 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, and After Week 48, Overall survival was defined as the time from initiation of active treatment to death. Results are presented as the Kaplan-Meier estimate (% probability) of death after a given time., Baseline to Week 48+",,Gilead Sciences,,"CHILD, ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",GS-US-300-0117,
NCT01244620,"A Pharmacokinetic Drug-Drug Interaction (DDI) Study Between Sitaxsentan And Sildenafil, And Between Sitaxsentan And Tadalafil After Multiple Doses",https://beta.clinicaltrials.gov/study/NCT01244620,,TERMINATED,YES,Pulmonary Arterial Hypertension,DRUG: sitaxentan|DRUG: tadalafil|DRUG: sitaxsentan|DRUG: tadalafil|DRUG: sitaxsentan|DRUG: sildenafil,"Time to Reach Maximum Observed Plasma Concentration (Tmax), Day 6 (predose and 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 16, and 24 hours post dose)|Trough Plasma Concentrations (Ctrough), Minimum or ""trough""concentrations, Day 6 (predose and 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 16, and 24 hours post dose)|Maximum Observed Plasma Concentration (Cmax), Day 6 (predose and 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 16, and 24 hours post dose)|Area Under the Curve of the 24 Hour Dosing Interval (AUC24), Day 6 (predose and 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 16, and 24 hours post dose)|Apparent Oral Clearance (CL/F), Clearance of a drug is a measure of the rate at which a drug is metabolized or eliminated by normal biological processes. Clearance obtained after oral dose (apparent oral clearance) is influenced by the fraction of the dose absorbed. Clearance was estimated from population pharmacokinetic (PK) modeling. Drug clearance is a quantitative measure of the rate at which a drug substance is removed from the blood., Day 6 (predose and 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 16, and 24 hours post dose)|Volume of Distribution at Steady State (Vss), Volume of distribution is defined as the theoretical volume in which the total amount of drug would need to be uniformly distributed to produce the desired blood concentration of a drug. Steady state volume of distribution (Vss) is the apparent volume of distribution at steady-state., Day 6 (predose and 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 16, and 24 hours post dose)","Plasma Decay Half-Life (t1/2), Plasma decay half-life is the time measured for the plasma concentration to decrease by one half., Day 6 (predose and 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 16, and 24 hours post dose)",,Pfizer,,ADULT,PHASE1,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,B1321056,
NCT02981082,Dimethyl Fumarate (DMF) in Systemic Sclerosis-Associated Pulmonary Arterial Hypertension,https://beta.clinicaltrials.gov/study/NCT02981082,,TERMINATED,YES,Systemic Sclerosis|Pulmonary; Hypertension,DRUG: Dimethyl Fumarate (DMF)|DRUG: Placebo Oral Tablet,"6 Minute Walk Distance (6MWD), The primary outcome of clinical efficacy in this study is improvement in 6-minute walk distance (6MWD). Data depict the mean change (%) at end-of-study-treatment (Week 24) from baseline in both treatment groups, utilizing the Last Observation Carried Forward of withdrawn subjects., Baseline to Week 24","Clinical Worsening, The change in time to clinical worsening in DMF compared to placebo treated patients., Baseline to Week 24|Borg Dyspnea Index (BDI), The change in Borg Dyspnea Index (BDI) at 24 weeks from baseline in DMF compared to placebo treated patients, Baseline to Week 24|Serum Markers of Oxidative Stress, The change from baseline of serum markers of oxidative stress at 24 weeks, comparing DMF to placebo treated patients., Baseline to Week 24|Proteomic Biomarkers, The change from baseline in proteomic biomarkers, including BNP, at 24 weeks, comparing DMF to placebo treated patients., Baseline to Week 24",,Robert Lafyatis,Biogen,"ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",PRO16070614,Study Protocol and Statistical Analysis Plan|Informed Consent Form
NCT04435782,A Study of Selexipag Assessing Right Ventricular Remodeling in Pulmonary Arterial Hypertension by Cardiac Magnetic Resonance Imaging,https://beta.clinicaltrials.gov/study/NCT04435782,RESTORE,ACTIVE_NOT_RECRUITING,NO,Pulmonary Arterial Hypertension,DRUG: JNJ-67896049,"Change from Baseline to Week 26 in Right Ventricular Stroke Volume (RVSV) Assessed by Pulmonary Artery Flow Magnetic Resonance Imaging (MRI), Change from baseline to week 26 in RVSV in participants will be assessed by pulmonary artery flow MRI., Baseline and week 26","Change from Baseline to Week 26 in RV End-Diastolic Volume (RVEDV) Assessed by MRI, Change from baseline to week 26 in RVEDV will be assessed by MRI., Baseline and week 26|Change from Baseline to Week 26 in RV End-Systolic Volume (RVESV) Assessed by MRI, Change from baseline to week 26 in RVESV will be assessed by MRI., Baseline and week 26|Change from Baseline to Week 26 in RV Ejection Fraction (RVEF) Assessed by MRI, Change from baseline to week 26 in RVEF will be assessed by MRI., Baseline and week 26|Change from Baseline to Week 26 in RV Mass Assessed by MRI, Change from baseline to week 26 in RV mass will be assessed by MRI., Baseline and week 26|Change from Baseline to Week 26 RV Global Longitudinal Strain (RVGLS) Assessed by MRI, Change from baseline to week 26 RVGLS will be assessed by MRI., Baseline and week 26|Change of Baseline to Week 26 in World Health Organization Functional Class (WHO FC), Change of baseline to week 26 in WHO FC in participants will be assessed., Baseline and week 26|Change form Baseline to Week 26 in N-Terminal-Pro-Hormone Brain Natriuretic Peptide (NT-proBNP), Change from baseline to week 26 NT-proBNP in participants will be assessed., Baseline and week 26|Change from Baseline to Week 26 in 6-Minute Walk Distance (6MWD), Change from baseline to week 26 in 6MWD in participants will be assessed., Baseline and week 26|Number of Participants with Treatment-Emergent Adverse Events (TEAEs), An AE is any untoward medical occurrence in a clinical study participant administered a medicinal (investigational or non-investigational) product. An AE does not necessarily have a causal relationship with the intervention. TEAE is any AE from first dose up to 3 days after end of study intervention., Up to 56 weeks|Number of Participants with Serious Adverse Events (SAEs), A serious adverse event (SAE) is an AE resulting in any of the following outcomes or deemed significant for any other reason: death; initial or prolonged inpatient hospitalization; life-threatening experience (immediate risk of dying); persistent or significant disability/incapacity; congenital anomaly., Up to 60 weeks|Number of Participants with AEs Leading to Premature Discontinuation of Selexipag, Number of participants with AEs leading to premature discontinuation of study drug Selexipag will be reported., Up to 52 weeks|Number of Participants with AEs of Special Interest, Number of participants with AEs of special interest will be reported., Up to 60 weeks|Number of Participants with Treatment-Emergent Marked Laboratory Abnormalities, Number of participants with treatment-emergent marked laboratory abnormalities will be reported., Up to 56 weeks|Change from Baseline to Week 26 in Number of Non-Invasive Low-Risk Criteria Variable, Change from baseline to Week 26 in number of non-invasive low-risk criteria among the following 8 variables: Absence of clinical signs of right heart failure; Absence of symptoms progression; Absence of syncope; World Health Organization functional class (WHO FC) I-II; 6-minute walking distance (6MWD) greater than (\>) 440 meters (m); N-terminal-pro-hormone brain natriuretic peptide (NT-proBNP) less than (\<) 300 nanogram per liters (ng/L); Right atrial (RA) area \<18 centimeter square (cm\^2), as determined by echocardiography (Echo) and Absence of pericardial effusion, as determined by Echo will be assessed., Baseline to week 26",,Actelion,,ADULT,PHASE4,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,CR108753|67896049PAH4005|2019-004783-22,
NCT00989963,Dose-response Study of the Safety and Efficacy of Beraprost Sodium Modified Release (BPS-MR) in Patients With Pulmonary Arterial Hypertension (PAH),https://beta.clinicaltrials.gov/study/NCT00989963,,COMPLETED,YES,Pulmonary Arterial Hypertension,DRUG: Beraprost Sodium Modified Release,"Change From Baseline in Pulmonary Vascular Resistance at Week 12, The change in Pulmonary Vascular Resistance (PVR) was evaluated from Baseline to Week 12. PVR is expressed in Wood Units or millimeters of Mercury per Liter per minute (mmHG/L/min), Week 12|Change From Baseline in Cardiac Output (CO) at Week 12, The change in Cardiac Output was evaluated from Baseline to Week 12., Week 12|Change From Baseline in Pulmonary Arterial Pressure at Week 12, The change in mean Pulmonary Arterial Pressure (mPAP) was evaluated from Baseline to Week 12., 12 weeks","Change in Six Minute Walk Distance From Baseline to Week 6 and Week 12, Area used for the Six Minute Walk Test (6MWT) was pre-measured at 30 meters in length. Rest periods were allowed if patient could no longer continue. If patient needed to rest, he/she could stand or sit and then begin again when rested but the clock continued to run. At the end of 6 minutes, the tester called ""stop"" while stopping the watch and then measured the distance walked. For purposes of the 6MWT, if patient was assessed at Baseline using oxygen therapy, all future 6MWT were conducted in the same manner. All efficacy results are descriptive; no statistical analysis was conducted., Baseline, Week 6 and 12|Number of Participants in Each World Health Organization (WHO) Functional Class for Pulmonary Arterial Hypertension (PAH) at Week 6 and 12, WHO functional classification for PAH range from Class I (no limitation in physical activity, no dyspnea with normal activity), Class II (slight limitation of physical activity), Class III (marked limitation of physical activity) and Class IV (cannot perform a physical activity without any symptoms, dyspnea at rest)., Week 6 and Week 12|Number of Participants With at Least One Post-baseline Clinically Significant Laboratory Value, Post-baseline clinically significant values, as defined by the Investigator, for hematology, serum chemistry, coagulation and urinalysis parameters were summarized., Up to Week 12|Number of Participants With Newly Occurring Clinically Significant ECG Abnormalities, Clinically significant ECG abnormalities at Baseline only are excluded., Up to 12 weeks|Change in Borg Dyspnea Score From Baseline to Week 6 and Week 12, The modified 0-10 category-ratio Borg scale consists of an 11-point scale rating the maximum level of dyspnea experienced during the 6MWT. Scores range from 0 (for the best condition) and 10 (for the worst condition) with nonlinear spacing of verbal descriptors of severity corresponding to specific numbers. The participant chose the number or the verbal descriptor to reflect presumed ratio properties of sensation or symptom intensity. Only participants with both a measurement at baseline and at the given visit are presented. All efficacy results are descriptive; no statistical analysis was conducted., Baseline, Week 6 and 12|N-Terminal ProB-type Natriuretic Peptide Level at Week 6 and Week 12, NT-proBNP functions as a strong indicator of prognosis in patients with pulmonary arterial hypertension., Week 6 and Week 12",,Lung Biotechnology PBC,,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",BPS-MR-PAH-203,
NCT04896008,A Study of Sotatercept in Participants With PAH WHO FC III or FC IV at High Risk of Mortality (MK-7962-006/ZENITH),https://beta.clinicaltrials.gov/study/NCT04896008,ZENITH,RECRUITING,NO,Pulmonary Arterial Hypertension,DRUG: Sotatercept|OTHER: Placebo,"Time to First Confirmed Morbidity or Mortality Event, Events are defined as all-cause death, lung transplantation, or PAH worsening-related hospitalization of ΓëÑ 24 hours. All events will be adjudicated by a blinded, independent committee of clinical experts., Up to approximately 46 months","Overall survival (OS), OS is defined as the time from randomization to death due to any cause., Up to approximately 46 months|Transplant-Free Survival, Transplant-free survival is defined as the time from randomization to the first lung transplantation or death due to any cause., Up to approximately 46 months|Percentage of Participants Who Experienced a Mortality Event, Mortality event is defined as death due to any cause throughout the study., Up to approximately 46 months|Change From Baseline in REVEAL Lite 2 Risk Score at Week 24, The REVEAL Lite 2 uses renal insufficiency (by estimated glomerular filtration rate (eGFR)), World Health Organization (WHO) functional class (FC), systolic blood pressure (SBP) and heart rate, 6-Minute Walk Distance (6-MWD), and N-terminal prohormone B-type natriuretic peptide (NT-proBNP) to determine the total risk score. The scores (range: 1-14) can be defined as: low risk as a score of Γëñ5, intermediate risk as a score of 6 or 7, and high risk as a score of ΓëÑ8 for the survival rates., Baseline and Week 24|Percentage of Participants Achieving a Low or Intermediate (Γëñ7) REVEAL Lite 2 Risk Score at Week 24, The REVEAL Lite 2 uses renal insufficiency (eGFR), WHO FC, SBP and heart rate, 6-MWD, and NT-proBNP to determine the total risk score. The scores (range: 1-14) can be defined as: low risk as a score of Γëñ5, intermediate risk as a score of 6 or 7, and high risk as a score of ΓëÑ8 for the survival rates., Week 24|Change From Baseline in NT-proBNP levels at Week 24, Blood samples will be collected at baseline and at Week 24 to measure NT-proBNP levels., Baseline and Week 24|Change From Baseline in Mean Pulmonary Artery Pressure (mPAP) at Week 24, mPAP was measured by right heart catheterization (RHC) at baseline and at Week 24. mPAP is a hemodynamic parameter used to diagnose PAH., Baseline and Week 24|Change From Baseline in Pulmonary Vascular Resistance (PVR), PVR is a hemodynamic variable measured by RHC at baseline and at Week 24., Baseline and Week 24|Percentage of Participants Who Improve in WHO FC, The severity of an individual's PAH symptoms was graded using the WHO FC system. WHO functional classification for PAH range from Class I (no limitation in physical activity, no dyspnea with normal activity), Class II (slight limitation of physical activity), Class III (marked limitation of physical activity) and Class IV (cannot perform a physical activity without any symptoms, dyspnea at rest). The change from baseline in WHO FC is classified into ""Improved"", ""No change"" and ""Worsened"". Improvement = reduction in FC, worsened = increase in FC and no change = no change in FC., Up to approximately 46 months|Change From Baseline in 6-MWD at Week 24, 6-MWD is a measure of exercise capacity., Baseline and Week 24|Change From Baseline in Cardiac Output (CO) at Week 24, CO is the volume of blood pumped by the heart per minute., Baseline and Week 24|Change From Baseline in EuroQoL-5 Dimensions Scale 5 Levels (EQ-5D-5L) Index Score at Week 24, EQ-5D-5L measures health outcome. It consists of of descriptive system and EQ visual analogue scale (EQ-VAS). EQ-5D-5L system has 5 dimensions: mobility, self-care, usual activities, pain/discomfort and anxiety/depression. Each dimension is divided into 5 levels of perceived problems (Level 1-no problem, Level 2-slight problems, Level 3-moderate problems, Level 4-severe problems, Level 5-extreme problems). Participant selects answer for each of 5 dimensions considering response that best matches his/her health ""today"". Responses will be used to generate an index score., Baseline and Week 24",,"Acceleron Pharma, Inc., a wholly-owned subsidiary of Merck & Co., Inc., Rahway, NJ USA",,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",7962-006|A011-14|MK-7962-006|2021-001498-21,
