NCT Number,Study Title,Study URL,Acronym,Study Status,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Age,Phases,Study Type,Study Design,Other IDs,Study Documents
NCT01901549,Renal Denervation in Patients After Acute Coronary Syndrome,https://beta.clinicaltrials.gov/study/NCT01901549,ACSRD,UNKNOWN,NO,Acute Coronary Syndrome|Arterial Hypertension,PROCEDURE: Renal denervation|DRUG: Metoprolol|DRUG: Lisinopril,"cardiovascular death, 1 year|myocardium infarction, 1 year|stroke, 1 year|repeat revascularization, 1 year","blood pressure changes, 1 year|CCS and NYHA, 1 year|heart rhythm disturbances, 1 year|intima-media index, 1 year|IVS thickness, 1 year|restenosis, 1 year|diastolic disfunction, 1 year",,Meshalkin Research Institute of Pathology of Circulation,,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",AMIRD,
NCT01663805,"Effects of the Use of ""de Novo"" Everolimus in Renal Tranplant Population",https://beta.clinicaltrials.gov/study/NCT01663805,,UNKNOWN,NO,Delayed Function of Renal Transplant,DRUG: Everolimus,"Molecular profile of cytokines, To characterize the molecular profile of cytokines in kidneys obtained from deceased donors such as ""standard"" (SCD) and extended criteria (ECD) in biopsies taken before and after transplantation and to evaluate the effect of treatment with everolimus (EVL) in the expression of these molecules., 12 months","Pattern of cytokines with DGF, cold ischemia time, episodes of acute rejection, To correlate the pattern of cytokines with DGF, cold ischemia time, episodes of acute rejection and patient and graft survival, 12 months",,MARIO ABBUD FILHO,,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,CRAD001ABR21T,
NCT05222191,Spironolactone in CKD Enabled by Chlorthalidone: PILOT,https://beta.clinicaltrials.gov/study/NCT05222191,SPICE PILOT,RECRUITING,NO,Renal Insufficiency|Chronic Hypertension,DRUG: Spironolactone|DRUG: Chlorthalidone|DRUG: Placebo,"Change in Systolic Automated Office Blood Pressure from baseline to 12 weeks between arms, Baseline to 12 Weeks","Change in logarithmically transformed albumin/creatinine ratio from baseline to 12 weeks between arms, Baseline to 12 Weeks",,Indiana Institute for Medical Research,,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",12672,
NCT01095939,Post-preeclampsia Renal Project: Study of Nephroprotection in Women Having Suffered Preeclampsia,https://beta.clinicaltrials.gov/study/NCT01095939,RPPEC,COMPLETED,NO,Renal Alteration,DRUG: Placebo|DRUG: Benazepril hydrochloride,"microalbuminuria excretion rate (spot or 24h), Baseline; 1 week + 24 weeks after treatment start|eGFR, Baseline; 1 week + 24 weeks after treatment start","Filtration fraction %, Baseline; 1 week + 24 weeks after treatment start|24h Ambulatory Blood Pressure, Mean; diurnal; nocturnal, Baseline; 1 week and 24 weeks after treatment start|Effective Renal Plasma Flow, Baseline; 1 week and 48 weeks after treatment start|Adverse Events, From signature of informed consent until last follow-up visit (36 months after treatment start)",,"University Hospital, Geneva",,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",09-136,
NCT04971720,PRECISION-BP: Precision Chronopharamacotherapy Targeting NP-RAAS-BP Rhythm Axis,https://beta.clinicaltrials.gov/study/NCT04971720,PRECISION-BP,RECRUITING,NO,Obesity|Cardiovascular Diseases|Hypertension|Nocturnal Blood Pressure|Natriuretic Peptides|Renin-Angiotensin-Aldosterone System,DRUG: Sacubitril-Valsartan 49 Mg-51 Mg Oral Tablet|DRUG: Valsartan 80 mg Oral Tablet,"Change in mean nocturnal systolic blood pressure, Change in mean nocturnal systolic blood pressure will be analyzed in the two study arms (morning vs. evening dose of sacubitril/valsartan or valsartan) from baseline and after 28 days of intervention., At Baseline and after 28 days of intervention.","Change in percent nocturnal dipping blood pressure, Change in percent nocturnal dipping blood pressure will be analyzed in the two study arms (morning vs. evening dose of sacubitril/valsartan or valsartan) from baseline and after 28 days of intervention., At Baseline and after 28 days of intervention.|Change in 24-hour mean systolic blood pressure, Change in 24-hour mean systolic blood pressure will be analyzed in the two study arms (morning vs. evening dose of sacubitril/valsartan or valsartan) from baseline and after 28 days of intervention., At Baseline and after 28 days of intervention.|Change in 24-hour mean diastolic blood pressure, Change in 24-hour mean diastolic blood pressure will be analyzed in the two study arms (morning vs. evening dose of sacubitril/valsartan or valsartan) from baseline and after 28 days of intervention., At Baseline and after 28 days of intervention.|Change in mean daytime systolic blood pressure, Change in mean daytime systolic blood pressure will be analyzed in the two study arms (morning vs. evening dose of sacubitril/valsartan or valsartan) from baseline and after 28 days of intervention., At Baseline and after 28 days of intervention|Change in mean daytime diastolic blood pressure, Change in mean daytime diastolic blood pressure will be analyzed in the two study arms (morning vs. evening dose of sacubitril/valsartan or valsartan) from baseline and after 28 days of intervention., At Baseline and after 28 days of intervention|Change in mean nocturnal diastolic blood pressure, Change in mean nocturnal diastolic blood pressure will be analyzed in the two study arms (morning vs. evening dose of sacubitril/valsartan or valsartan) from baseline and after 28 days of intervention., At Baseline and after 28 days of intervention.|Change in the daytime, nocturnal, and total urinary excretion parameters (Urine Sodium, Urine Potassium, Urine Creatinine, Urine Albumin)., Change in the daytime, nocturnal, and total urinary excretion parameters (Urine Sodium, Urine Potassium, Urine Creatinine, Urine Albumin) will be analyzed in the two study arms (morning vs. evening dose of sacubitril/valsartan or valsartan) from baseline and after 28 days of intervention., At Baseline and after 28 days of intervention|Change in 24-hour, daytime, and nocturnal ANP, BNP, NTproBNP, and renin levels, Change in 24-hour, daytime, and nocturnal ANP, BNP, NTproBNP, and renin levels will be analyzed in the two study arms (morning vs. evening dose of sacubitril/valsartan or valsartan) from baseline and after 28 days of intervention., At Baseline and after 28 days of intervention|Change in 24-hour, daytime, and nocturnal MRproANP levels, Change in 24-hour, daytime, and nocturnal MRproANP levels will be analyzed in the two study arms (morning vs. evening dose of sacubitril/valsartan or valsartan) from baseline and after 28 days of intervention., At Baseline and after 28 days of intervention|Change in 24-hour, daytime, and nocturnal Aldosterone levels, Change in 24-hour, daytime, and nocturnal Aldosterone levels will be analyzed in the two study arms (morning vs. evening dose of sacubitril/valsartan or valsartan) from baseline and after 28 days of intervention., At Baseline and after 28 days of intervention|Change in rhythm parameters (mesor, amplitude, and phase) for ANP, BNP, NTproBNP, renin, and melatonin rhythms., Change in rhythm parameters (mesor, amplitude, and phase) for ANP, BNP, NTproBNP, renin, and melatonin rhythms will be analyzed in the two study arms (morning vs. evening dose of sacubitril/valsartan or valsartan) from baseline and after 28 days of intervention., At Baseline and after 28 days of intervention|Change in rhythm parameters (mesor, amplitude, and phase) for MRproANP., Change in rhythm parameters (mesor, amplitude, and phase) for MRproANP will be analyzed in the two study arms (morning vs. evening dose of sacubitril/valsartan or valsartan) from baseline and after 28 days of intervention., At Baseline and after 28 days of intervention|Change in rhythm parameters (mesor, amplitude, and phase) for aldosterone rhythms., Change in rhythm parameters (mesor, amplitude, and phase) for aldosterone rhythms will be analyzed in the two study arms (morning vs. evening dose of sacubitril/valsartan or valsartan) from baseline and after 28 days of intervention., At Baseline and after 28 days of intervention|Change in rhythm parameters (mesor, amplitude, and phase) for cortisol rhythms., Change in rhythm parameters (mesor, amplitude, and phase) for cortisol rhythms will be analyzed in the two study arms (morning vs. evening dose of sacubitril/valsartan or valsartan) from baseline and after 28 days of intervention., At Baseline and after 28 days of intervention|Change in rhythm parameters (mesor, amplitude, and phase) for systolic BP, and diastolic BP rhythms., Change in rhythm parameters (mesor, amplitude, and phase) for systolic BP, and diastolic BP rhythms will be analyzed in the two study arms (morning vs. evening dose of sacubitril/valsartan or valsartan) from baseline and after 28 days of intervention., At Baseline and after 28 days of intervention",,University of Alabama at Birmingham,,"ADULT, OLDER_ADULT",PHASE2|PHASE3,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",IRB-300007789,
NCT01932450,Radiofrequency Ablation for ADPKD Blood Pressure and Disease Progression Control,https://beta.clinicaltrials.gov/study/NCT01932450,RAFALE,UNKNOWN,NO,Autosomal Dominant Polycystic Kidney Disease|Hypertension,PROCEDURE: renal sympathetic denervation|DRUG: antihypertensive drugs,"office-based measurements of systolic blood pressure, Between-group change in average office-based measurements of systolic blood pressure from baseline to 12 months after randomization and One-time standard bilateral renal sympathetic denervation by catheter-based radiofrequency ablation., baseline and 12 months (day 360Â±14)","24-hour systolic blood pressure by ambulatory blood pressure monitoring (ABPM), Change in average 24-hour systolic blood pressure by ambulatory blood pressure monitoring (ABPM) from baseline to 12 month., baseline and 12 months (day 360Â±14)|Incidence of office systolic blood pressure reduction, Incidence of office systolic blood pressure reductions of â‰¥10, â‰¥15 and â‰¥20 mm Hg from baseline to 12 month., baseline and 12 months (day 360Â±14)|office diastolic blood pressure, Change in office diastolic blood pressure from baseline to 12 months., baseline and 12 months (day 360Â±14)|number and dosage of blood pressure tablets, Change in number and dosage of blood pressure tablets from baseline to 12 months., baseline and 12 months (day 360Â±14)|estimated Glomerular Filtration Rate(eGFR), Change in estimated Glomerular Filtration Rate(eGFR) from baseline to 12 months., baseline and 12 months (day 360Â±14)|albuminuria, Change in albuminuria from baseline to 12 months., baseline and 12 months (day 360Â±14)|total kidney volume (TKV), Change in total kidney volume (TKV) from baseline to 12 months, baseline and 12 months (day 360Â±14)|pain, Change in pain related to cystic kidneys from baseline to 12 months., baseline and 12 months (day 360Â±14)|procedure-related complications at femoral puncture site, Occurrence of procedure-related complications at femoral puncture site (hematoma, arteriovenous fistula, pseudoaneurysma)., up to 1 year (after radiofrequency ablation)|Renal artery lesion, Renal artery lesion (perforation or dissection)., up to 1 year (after radiofrequency ablation)|New renal artery stenosis, New renal artery stenosis \>70%, determined by MRI within 12 months of randomization., up to 1 year (after radiofrequency ablation)|Embolic events, Embolic events., up to 1 year (after radiofrequency ablation)|hypotension, Episodes of hypotension., up to 1 year (after radiofrequency ablation)|hypertension., Episodes of hypertension., up to 1 year (after radiofrequency ablation)|acute kidney injury, Acute deterioration of renal function, up to 1 year (after radiofrequency ablation)|total cyst volume (TCV), Change in total cyst volume (TCV) from baseline to 12 months, baseline and 12 months (day 360Â±14)",,Mei changlin,,ADULT,PHASE2,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,CZKIPLA-ADPKD-001,
NCT00345150,Effects of Inhibition of NO-Synthesis on Renal Hemodynamics and Sodium Excretion in Patients With Essential Hypertension and Healthy Controls,https://beta.clinicaltrials.gov/study/NCT00345150,,COMPLETED,NO,Hypertension,DRUG: Ng-monomethyl-L-arginine (drug),,,,Regional Hospital Holstebro,,ADULT,PHASE1,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE|Primary Purpose: ,MED.RES.HOS.1995.01.JNB,
NCT01247090,Study of the Effect of Intradialytic Vasopressin on Chronic Hypertension in Patients With End Stage Renal Disease,https://beta.clinicaltrials.gov/study/NCT01247090,,COMPLETED,YES,Hypertension|End Stage Renal Disease,DRUG: Vasopressin - Very Low Dose|DRUG: Vasopressin - Low Dose|DRUG: Placebo Comparator,"Change in Mean Interdialytic 44-hour Ambulatory Systolic Blood Pressure Over a 2 Week Follow-up Period, This is designed to measure if the administration of intradialytic AVP will result in change in systolic blood pressure., Baseline and Two Weeks",,,Columbia University,,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",AAAE0454 - pilot,Study Protocol and Statistical Analysis Plan
NCT05700903,Contributions to Hypertension With Androgen Deprivation Therapy,https://beta.clinicaltrials.gov/study/NCT05700903,ARCH,NOT_YET_RECRUITING,NO,Androgen Deprivation Therapy|Prostate Cancer|Hypertension|Autonomic Dysfunction|Renal Disease,DRUG: Gonadotropin-Releasing Hormone Agonist|DRUG: Androgen receptor inhibitor|DRUG: Placebo,"Change in Cardiovagal Baroreflex Sensitivity, The change in cardiovagal baroreflex sensitivity will be assessed the modified Oxford procedure, Before and after 9 weeks of androgen deprivation therapy or placebo|Change in blood pressure reactivity to the cold pressor test, The change in blood pressure will be assessed from quiet rest to sympathetic activation using the cold pressor test, Before and after 9 weeks of androgen deprivation therapy or placebo|Change in exercise pressor reflex, The change in blood pressure will be assessed from quiet rest to isometric handgrip exercise, Before and after 9 weeks of androgen deprivation therapy or placebo|Change in ambulatory blood pressure variability, Ambulatory blood pressure variability will be determined from 24-hour ambulatory blood pressure monitoring., Before and after 9 weeks of androgen deprivation therapy or placebo|Change in beat-to-beat blood pressure variability, Beat-to-beat blood pressure variability will be using finger photoplethysmography measured in the laboratory., Before and after 9 weeks of androgen deprivation therapy or placebo|Change in renal vascular resistance, Renal blood flow will be determined using ultrasound and blood pressure will be determined using finger photoplethysmography. These measures will be used to estimate renal vascular resistance., Before and after 9 weeks of androgen deprivation therapy or placebo|Change in Renal dysfunction biomarkers, Neutrophil gelatinase-associated lipocalin (NGAL), kidney injury molecule (KIM)-1, interleukin (IL)-18, and vanin-1 will be quantified in urine using commercially available assay kits. Concentrations will be normalized to urinary flow rate., Before and after 9 weeks of androgen deprivation therapy or placebo","Change in sympathetic baroreflex sensitivity, Changes in muscle sympathetic nerve activity in response to changes in blood pressure will be assessed using the modified Oxford procedure, Before and after 9 weeks of androgen deprivation therapy or placebo|Change in Sympathetic reactivity, The change in muscle sympathetic nerve activity will be assessed from quiet rest to sympathetic activation using the cold pressor test., Before and after 9 weeks of androgen deprivation therapy or placebo|Change in glomerular filtration rate, Glomerular filtration rate and renal plasma flow will be calculated by iohexol (Omnipaque 300, GE Healthcare) clearance technique. Plasma and urine iohexol and p-aminohippurate clearance will be measured on a High-Performance Liquid Chromatography (HPLC, Waters, Milford, MA)., Before and after 9 weeks of androgen deprivation therapy or placebo|Change in renal plasma flow, Renal plasma flow will be calculated by p-aminohippurate (Basic Pharma) clearance techniques. Plasma and urine p-aminohippurate clearance will be measured on a High-Performance Liquid Chromatography (HPLC, Waters, Milford, MA)., Before and after 9 weeks of androgen deprivation therapy or placebo","Change in Inflammation, Proteomic analysis of inflammatory cascade proteins will be quantified in plasma samples., Before and after 9 weeks of androgen deprivation therapy or placebo|Change in Oxidative stress, Whole blood reactive oxygen species will be measured in from venous blood samples using electron paramagnetic resonance spectroscopy, Before and after 9 weeks of androgen deprivation therapy or placebo|Change in Body composition, Descriptive variable total body fat mass (for screening and to document any changes with the intervention), Before and after 9 weeks of androgen deprivation therapy or placebo","University of Colorado, Denver",,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",22-2201,
NCT02376075,"Effects of Linagliptin on Endothelial- , Renal-, and Retinal Function in Patients With Hypertension and Albuminuria",https://beta.clinicaltrials.gov/study/NCT02376075,,COMPLETED,NO,Arterial Hypertension|Albuminuria,DRUG: Linagliptin|DRUG: Placebo,"Albumin/Creatinine Ratio (UACR) in 24h urine change between Baseline and Visit 4, up to 14 weeks of study drug intake","24 hour urinary sodium excretion change between Baseline and Visit 4, after 14 weeks of study drug intake|Fasting cystatin C change between Baseline and V4, up to 14 weeks of study drug intake|Fasting cGMP change between Baseline and Visit 4, after 14 weeks of study drug intake|Fasting serum ADMA change between Baseline and V4, up to 14 weeks of study drug intake|Fasting hsCRP change between Baseline and Visit 4, up to 14 weeks of study drug intake|Fasting TGF-ÃŸ1 change between Baseline and Visit 4, after 14 weeks of study drug intake|Retinal endothelial function change between Baseline and Visit 4, up to 14 weeks of study drug intake|Retinal microvascular blood flow change between Baseline and Visit 4, up to 14 weeks of study drug intake|24h blood pressure measurements change between Baseline and Visit 4, up to 14 weeks of study drug intake|HbA1c change between Baseline and Visit 4, up to 14 weeks of study drug intake|Body weight change during study participation, up to 14 weeks of study drug intake|Adverse events during study participation, up to 14 weeks of study drug intake",,ikfe-CRO GmbH,Ikfe GmbH|MLM Medical Labs GmbH,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: ",ikfe-Lina-003|2012-004300-35,
