Gene,Mutation_Remark,System/Pathway_info,Drug_Name_and_Combination,Phases,Primary Phenotype Measures,Primary/Secondary_Hypertension,Drug_Class,Source
ACE,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin-converting enzyme (106180) on chromosome 17q23,Renin-angiotensin system,DRUG: Olmesartan medoxomil+ Hydrochlorothiazide|DRUG: Benazepril+ Amlodipine,PHASE4,Change in systolic blood pressure from the start of the study,"Hypertension, Primary",Renin-angiotensin system inhibitor,NCT00185120
ACE,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin-converting enzyme (106180) on chromosome 17q23,Renin-angiotensin system,DRUG: Perindopril+Amlodipine,PHASE4,"systolic Blood pressure control, reduction in mmHg, 3 months|Diastolic Blood pressure control, reduction in mmHg, 3 months","Hypertension, Primary",Renin-angiotensin system inhibitor,NCT02995954
ACE,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin-converting enzyme (106180) on chromosome 17q23,Renin-angiotensin system,DRUG: Ramipril,PHASE3,"Time interval to renal 'loss' as defined by an absolute decrease in creatinine clearance by 50 % or attainment of renal replacement therapy., two-monthly",Children|Chronic Renal Failure|Hypertension|Acquired Kidney Disease|Congenital Kidney Disease,"Antihypertensive, Angiotensin-converting enzyme inhibitor",NCT00221845
ACE,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin-converting enzyme (106180) on chromosome 17q23,Renin-angiotensin system,DRUG: losartan|DRUG: ramipril,PHASE4,"Fatal and nonfatal stroke, two years|Progression of silent brain infarction or white matter lesion on magnetic resonance imaging, two years",Brain Infarction|Hypertension,"Antihypertensive, Angiotensin II receptor antagonist, Angiotensin-converting Enzyme Inhibitors",NCT00126516
ACE,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin-converting enzyme (106180) on chromosome 17q23,Renin-angiotensin system,DRUG: Ramipril,PHASE3,"The main outcome variable will be a combined end-point of cardiovascular death (including sudden death and cardiac arrest resuscitation) and myocardial infarction or non-fatal stroke., Baseline, 1st and 2nd year",Left Ventricular Hypertrophy|Hypertension,"Antihypertensive, Angiotensin-converting enzyme inhibitor",NCT00985322
ACE,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin-converting enzyme (106180) on chromosome 17q23,Renin-angiotensin system,DRUG: esaxerenone (CS-3150),PHASE3,"Change from baseline in sitting systolic and diastolic blood pressure, Change from baseline in sitting systolic and diastolic blood pressure, Baseline to end of Week 12",Hypertension With Moderate Renal Impairment,"Antihypertensive, Aldosterone antagonist",NCT02807987
ACE,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin-converting enzyme (106180) on chromosome 17q23,Renin-angiotensin system,DRUG: Hydrochlorothiazide+Indapamide,PHASE4,"Better metabolic effects of indapamide SR 1.5 mg+quinapril by comparison with hydrochlorothiazide 25 mg+quinapril, in patients with hypertension and type 2 diabetes mellitus., 6 months",Hypertension|Type 2 Diabetes Mellitus,"Antihypertensive, Diuretic, Na+-Cl- symport inhibitor",NCT00980187
ACE,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin-converting enzyme (106180) on chromosome 17q23,Renin-angiotensin system,DRUG: Enalapril 5mg|DRUG: Enalapril 10mg|DRUG: Sitagliptin,PHASE4,"Change in MAP During Placebo, The change in mean arterial pressure (MAP) in response to placebo or enalapril after pretreatment with 5 days of placebo, just prior to drug administration and 8 hours after drug administration|Change in MAP During Sitagliptin, Mean change in mean arterial pressure in response to placebo or enalapril in the presence of 5 days of sitagliptin 100mg/day, just prior to drug administration and 8 hours following treatment",Metabolic Syndrome|Hypertension,"Antihypertensive, Vasodilator, Angiotensin-converting enzyme inhibitor",NCT00666848
ACE,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin-converting enzyme (106180) on chromosome 17q23,Renin-angiotensin system,DRUG: Aliskiren+ Valsartan|DRUG: Telmisartan+ Ramipril,PHASE2,"Compare the effects of aliskiren + valsartan vs ramipril + telmisartan on 24-hour urinary aldosterone, 56 days","Hypertension, Primary","Antihypertensive, Angiotensin-converting enzyme inhibitor",NCT00939588
ACE,homozygous or compound heterozygous mutation in genes encoding components of the angiotensin-converting enzyme (106180) on chromosome 17q23,Renin-angiotensin system,DRUG: Fosinopril,PHASE2,NaN,Cardiovascular Diseases|Heart Diseases|Hypertension,"Antihypertensive, Angiotensin-converting enzyme inhibitor",NCT00051389
